Node ID,Degree Centrality,Longitude,Latitude
17696,14.0,-122.34053101250441,47.61275580123895
29585,14.0,-122.33366512534701,47.60276483067156
8731,13.0,-122.33627106462676,47.605620879302016
13599,13.0,-122.32917594095318,47.603810704527326
20282,13.0,-122.33751587291593,47.605091999712
21080,13.0,-122.34134939879597,47.61211968390942
9947,12.0,-122.33897469606238,47.60779849776832
12422,12.0,-122.3335250643957,47.60167670582315
13793,12.0,-122.33222546849598,47.60165175086468
15493,12.0,-122.33794471451496,47.605007750346495
