Node ID,Longitude,Latitude,Degree Centrality
0,1272454.59576377,196821.621245593,4.0
1,1272445.65285176,196530.332157284,4.0
2,1272798.19742812,229164.418078706,3.0
3,1272804.96216413,229595.832927153,4.0
4,1281723.54604527,282410.519317225,3.0
5,1281884.72486143,282430.77122125,1.0
6,1276842.76677626,227487.097628996,3.0
7,1258877.97200587,249895.359603941,4.0
8,1258234.31478922,249910.516403958,4.0
9,1283765.82739136,171798.862563968,4.0
10,1284031.00665563,171794.603363961,1.0
11,1280270.93772379,213065.492622226,4.0
12,1280456.64569198,212688.49274984,3.0
13,1267298.5883345,267152.063941613,3.0
14,1271933.94097924,224815.773914248,4.0
15,1271778.12037109,225078.95580253,4.0
16,1278954.31929043,265172.014723584,3.0
17,1278959.35634644,265833.102980256,5.0
18,1277381.21746482,215035.505424246,4.0
19,1277630.20780107,215030.02216023198,3.0
20,1283574.34284717,261045.015423357,1.0
21,1283809.09996741,261058.46521537,4.0
22,1262965.77060206,243687.401837572,3.0
23,1262421.63684151,243696.967469588,3.0
24,1267581.43787079,255034.246649206,4.0
25,1267586.72785479,255298.186041474,4.0
26,1284988.93945661,243227.259757102,3.0
27,1285233.68665686,243221.913645104,3.0
28,1255456.75408237,196154.808572903,3.0
29,1255595.16950652,195880.616572618,3.0
30,1263108.5517862,234405.380708069,3.0
31,1262935.07281002,234409.333796084,3.0
32,1255545.10429046,216954.681042209,3.0
33,1255265.38704218,216967.281426221,3.0
34,1258800.58698179,246142.062000096,4.0
35,1258809.9760378,246596.084016562,4.0
36,1279401.98706689,212638.938061789,4.0
37,1279694.18789919,212782.37543793,4.0
38,1274815.57855019,214267.166415453,4.0
39,1275137.33906253,214259.534863442,4.0
40,1278606.39973807,260543.99148684702,3.0
41,1278505.30936997,261207.579775527,3.0
42,1263738.66269885,193118.371449798,4.0
43,1263720.30877884,192449.732985109,4.0
44,1256988.76483594,256314.264378503,3.0
45,1256994.74377994,256567.370490775,3.0
46,1279509.896635,249937.870963976,4.0
47,1279510.548475,250601.042228654,4.0
48,1259622.40195863,247186.093681157,3.0
49,1259624.42359065,247281.280817255,3.0
50,1270588.07550587,248855.032242864,4.0
51,1270458.83204973,249104.497331128,4.0
52,1263328.80791444,257652.461179882,4.0
53,1263339.08772244,258310.205628559,4.0
54,1269852.56356911,286351.478297263,1.0
55,1270761.20017804,281362.060756162,3.0
56,1271109.72933041,281358.539796159,3.0
57,1268277.31735949,172954.348773152,4.0
58,1267949.29604717,172956.300197154,4.0
59,1293112.80640893,186888.097779423,4.0
60,1292817.51437663,186607.558003128,4.0
61,1261062.79863212,189161.988277748,4.0
62,1261055.6402321,188817.666101396,3.0
63,1272464.65771578,287260.426586196,3.0
64,1273788.08651714,287213.48905015,3.0
65,1272454.03409977,177834.82391414,3.0
66,1272444.24568376,177462.902761772,1.0
67,1290300.04762205,166861.452190906,4.0
68,1290264.08378202,166241.259486273,1.0
69,1291331.86477511,180568.431340948,3.0
70,1291975.29197577,180633.424301013,1.0
71,1282213.24518177,271972.505034536,3.0
72,1282284.28767784,272235.421834812,3.0
73,1282715.23859029,233091.293474734,4.0
74,1282726.5535343,233531.437603176,4.0
75,1281281.27494082,226056.509979531,4.0
76,1281551.9082851,226047.25077951,4.0
77,1287215.17222689,201158.116866022,3.0
78,1287404.61177908,201153.593538031,3.0
79,1270277.30814555,258143.212860376,4.0
80,1270642.56068993,258133.419196367,3.0
81,1280294.88581981,228275.444509804,4.0
82,1280580.68646009,228267.878237784,4.0
83,1278378.23845784,237799.906727552,5.0
84,1278804.12933828,237789.334567547,3.0
85,1272824.73246816,230863.305760443,4.0
86,1273064.5368204,230856.854368433,4.0
87,1281381.10514891,275680.326734334,4.0
88,1281742.18412529,275669.226702332,3.0
89,1266283.53726146,171371.195427522,4.0
90,1266257.47658943,170710.072738856,4.0
91,1275345.34392674,282544.803797364,3.0
92,1275752.38968715,282779.186837614,3.0
93,1264664.81015579,281906.94485271,3.0
94,1264668.0404918,282139.998484954,4.0
95,1264664.87082779,190436.459447056,4.0
96,1264659.03127579,189769.788918361,4.0
97,1277398.53695284,278181.299088895,4.0
98,1278429.63762589,278182.661904901,4.0
99,1273761.84018111,281094.578707889,3.0
100,1273941.6010133,281087.15937987,1.0
101,1266971.44593416,229144.100254685,3.0
102,1267074.50084627,229257.475998804,3.0
103,1263215.73661831,233093.017890736,4.0
104,1263233.93437834,233406.478499055,4.0
105,1284175.52505578,256967.10431517698,3.0
106,1284180.06182379,257310.038331524,3.0
107,1268687.03966393,176563.882920846,4.0
108,1268326.00491154,176567.896360844,3.0
109,1253666.65104054,238556.65130432,4.0
110,1253514.05622438,238559.390120327,3.0
111,1274047.4515094,210438.22855553,1.0
112,1274103.81880547,210438.612683535,4.0
113,1276913.66789635,256953.11122717,4.0
