Node ID,Betweenness Centrality,Longitude,Latitude
398,130030977.66283754,-122.330186840981,47.6556335806353
6083,125432463.66666682,-122.324302377579,47.649165144288
12899,125167566.0,-122.324650262791,47.6558209832797
9606,125164758.0,-122.32631584367898,47.65558321294029
9607,125153026.0,-122.325604345888,47.6557103123649
5642,125144006.0,-122.323613583663,47.65590555719249
10622,125094126.0,-122.32285481442598,47.6558422194403
8046,121824498.33333345,-122.324170176093,47.6349327153024
19830,121760158.86666676,-122.32409298493464,47.62426493722439
13305,121489818.0,-122.32606592428901,47.6271752578353
