Fraction of Nodes Removed,Core Proportion
0.0,1.0
4.292213923941969e-05,0.9999570778607606
8.584427847883938e-05,0.9999141557215212
0.0001287664177182591,0.9998712335822817
0.00017168855695767876,0.9998283114430423
0.00021461069619709846,0.9997853893038029
0.0002575328354365182,0.9997424671645635
0.00030045497467593785,0.9996995450253241
0.0003433771139153575,0.9996566228860846
0.00038629925315477725,0.9996137007468452
0.0004292213923941969,0.9995707786076058
0.00047214353163361664,0.9995278564683664
0.0005150656708730364,0.999484934329127
0.000557987810112456,0.9994420121898876
0.0006009099493518757,0.9993990900506481
0.0006438320885912954,0.9993561679114087
0.000686754227830715,0.9993132457721693
0.0007296763670701348,0.9992703236329299
0.0007725985063095545,0.9992274014936905
0.0008155206455489741,0.999184479354451
0.0008584427847883938,0.9991415572152116
0.0009013649240278136,0.9990986350759722
0.0009442870632672333,0.9990557129367328
0.000987209202506653,0.9990127907974934
0.0010301313417460727,0.9989698686582539
0.0010730534809854923,0.9989269465190145
0.001115975620224912,0.9988840243797751
0.0011588977594643318,0.9988411022405357
0.0012018198987037514,0.9987981801012963
0.001244742037943171,0.9987552579620568
0.0012876641771825909,0.9987123358228174
0.0013305863164220105,0.998669413683578
0.00137350845566143,0.9986264915443386
0.00141643059490085,0.9985835694050992
0.0014593527341402695,0.9985406472658598
0.0015022748733796892,0.9984977251266203
0.001545197012619109,0.9984548029873809
0.0015881191518585286,0.9983689587089021
0.0016310412910979482,0.9983260365696627
0.001673963430337368,0.9982831144304232
0.0017168855695767877,0.9982401922911838
0.0017598077088162075,0.9981972701519444
0.0018027298480556271,0.998154348012705
0.0018456519872950467,0.9981114258734656
0.0018885741265344666,0.9980685037342261
0.0019314962657738862,0.9980255815949867
0.001974418405013306,0.9979826594557473
0.0020173405442527256,0.9979397373165079
0.0020602626834921455,0.9978968151772685
0.002103184822731565,0.997853893038029
0.0021461069619709847,0.9978109708987896
0.0021890291012104045,0.9977680487595502
0.002231951240449824,0.9976822044810714
0.0022748733796892438,0.997639282341832
0.0023177955189286636,0.9975963602025925
0.002360717658168083,0.9975534380633531
0.002403639797407503,0.9975105159241137
0.0024465619366469227,0.9974675937848743
0.002489484075886342,0.9974246716456349
0.002532406215125762,0.9973817495063954
0.0025753283543651817,0.997338827367156
0.002618250493604601,0.9972959052279166
0.002661172632844021,0.9972529830886772
0.002704094772083441,0.9972100609494378
